call_id,destination_person_id,source_person_id,account_age,account_state,occupation,language,call_direction,call_duration,call_outcome,call_end_date,call_topics,call_topic_group
2808131,239142,296435,206,In Repayment,Teacher,Rukiga,Incoming,3.22,Call Resolved,10/21/17 6:01,Customer NOT with PS,Technical/ Battery Performance
2808134,86394,8879,1108,Complete,Construction,Luganda,Incoming,1.28,Call Resolved,10/21/17 6:01,School fee loan inquiry,Sales
2808135,157497,379132,2,In Repayment,Small Business Owner,Luganda,Incoming,3.23,Call Unresolved,10/21/17 6:02,Technical product inquiry ,Technical/ Battery Performance
2808136,369517,212968,34,In Repayment,Farmer,English,Outgoing,0.62,Customer Unreachable,10/21/17 6:03,10 Day Call,Survey
2808137,86394,258614,315,In Repayment,Farmer,Luganda,Incoming,3.27,Call Resolved,10/21/17 6:05,Code Not Received,Codes
2808138,239005,226296,385,In Repayment,Farmer,Lusoga,Incoming,4.7,Call Resolved,10/21/17 6:05,Code Not Received,Codes
2808139,77156,80065,838,In Repayment,Boda Boda,Lunyoro,Incoming,4.3,Call Resolved,10/21/17 6:06,"Code Entered Late, Code Not Received",Codes
2808140,296435,239142,206,In Repayment,Teacher,Rukiga,Outgoing,4.3,Call Resolved,10/21/17 6:06,General Question,General 
2808143,157397,186243,525,In Repayment,Small Business Owner,Alur,Incoming,0.52,Call Resolved,10/21/17 6:07,Call transfer,Other
2808145,239257,361578,54,In Repayment,Butcher,Lunyankore,Incoming,8.4,Call Resolved,10/21/17 6:09,3 Series LED Light Bar Technical,Accessory Technical Issue
2808146,108358,189112,478,In Repayment,Carpenter,Lugwere,Incoming,12.4,Needs Repair / Replacement,10/21/17 6:09,"Unexpected Error Mode, 18 Diode LED Light Bar Technical",Technical/ Battery Performance
2808148,338396,366749,44,In Repayment,Electrician,Luganda,Incoming,11.48,Call Resolved,10/21/17 6:11,Unexpected Error Mode,Technical/ Battery Performance
2808149,212971,186243,525,In Repayment,Small Business Owner,Alur,Incoming,1.65,Call Resolved,10/21/17 6:11,Payment inquiry,Finance
2808150,108323,212968,757,Complete,Teacher,English,Outgoing,0.62,Customer Unreachable,10/21/17 6:12,Completions Call,Survey
2808151,338079,364905,49,In Repayment,Farmer,Japadhola,Incoming,5.18,Call Resolved,10/21/17 6:10,"General Question, Code Not Received",General 
2808152,239257,367371,43,In Repayment,Farmer,Lunyankore,Incoming,3.37,Call Resolved,10/21/17 6:13,Code Not Received,Codes
2808153,373135,239082,18,In Repayment,Small Business Owner,Luganda,Outgoing,0.63,Customer Unreachable,10/21/17 6:13,10 Day Call,Survey
2808154,77156,348707,77,In Repayment,Small Business Owner,Lutooro,Incoming,5.6,Call Resolved,10/21/17 6:12,Advance Code,Codes
2808155,373135,239082,18,In Repayment,Small Business Owner,Luganda,Outgoing,0.62,Customer Unreachable,10/21/17 6:14,10 Day Call,Survey
2808156,212971,223991,390,In Repayment,Farmer,Ateso,Incoming,1.27,Call Unresolved,10/21/17 6:14,Ended Call- Hearing/Speaking Issues,Other
2808157,212954,93741,802,In Repayment,Farmer,Lango,Incoming,2.38,Call Resolved,10/21/17 6:14,Balance Inquiry,Finance
2808158,157397,307598,155,In Repayment,Small Business Owner,Luganda,Incoming,4.17,Call Resolved,10/21/17 6:14,Code Not Received,Codes
2808159,86394,244461,337,In Repayment,Shop Keeper,Luganda,Incoming,7.55,Needs Repair / Replacement,10/21/17 6:14,RP Remote Technical,Accessory Technical Issue
2808160,157497,340928,88,In Repayment,Other,Lunyankore,Incoming,12.43,Call Resolved,10/21/17 6:15,Call Dropped,Other
2808162,157397,350017,74,In Repayment,Farmer,Samia,Incoming,0.45,Call Resolved,10/21/17 6:15,Call Dropped,Other
2808164,338079,145820,668,In Repayment,Farmer,English,Incoming,2.33,Call Resolved,10/21/17 6:15,Code Not Received,Codes
2808165,212971,352547,70,In Repayment,Construction,Ateso,Incoming,1.08,Call Resolved,10/21/17 6:16,Ended Call- Hearing/Speaking Issues,Other
2808167,373155,239082,18,In Repayment,Farmer,Lukonjo,Outgoing,1.47,Customer Unreachable,10/21/17 6:16,10 Day Call,Survey
2808168,86394,204149,455,In Repayment,Boda Boda,Lusoga,Incoming,1.85,Call Resolved,10/21/17 6:17,Intended for MTN,Other
2808169,24026,373143,18,In Repayment,Boda Boda,Kupsabiiny,Incoming,4.02,Call Resolved,10/21/17 6:17,Code Not Received,Codes
2808170,338414,373390,17,In Repayment,Market Trader,Lunyankore,Incoming,6.43,Call Resolved,10/21/17 6:17,MM Issue,Finance
2808171,108358,209018,436,In Repayment,Farmer,Lumasaba,Incoming,7.78,Call Resolved,10/21/17 6:18,Early Lockout,Codes
2808172,373155,239082,18,In Repayment,Farmer,Lukonjo,Outgoing,1.47,Customer Unreachable,10/21/17 6:18,10 Day Call,Survey
2808174,124275,6180,144,In Repayment,Farmer,Luganda,Incoming,16.7,Call Resolved,10/21/17 6:19,"Code Not Received, Does Not Charge From Solar",Codes
2808175,338396,179600,549,In Repayment,Small Business Owner,Rufumbira,Incoming,2.82,Call Resolved,10/21/17 6:19,Balance Inquiry,Finance
2808176,239257,359590,58,In Repayment,Small Business Owner,Lunyankore,Incoming,3.18,Call Resolved,10/21/17 6:19,Code Not Received,Codes
2808178,368489,212954,38,In Repayment,Farmer,Lango,Outgoing,0.62,Customer Unreachable,10/21/17 6:20,"Overdue Account, 10 Day Call",Finance
2808179,108358,274485,289,In Repayment,Other,Lumasaba,Incoming,2.05,Call Resolved,10/21/17 6:20,Ended Call- Hearing/Speaking Issues,Other
2808181,338079,350017,74,In Repayment,Farmer,Samia,Incoming,4.7,Call Resolved,10/21/17 6:21,RP Remote Technical,Accessory Technical Issue
2808182,157397,88940,816,Complete,Small Business Owner,English,Incoming,4.72,Call Resolved,10/21/17 6:21,School fee loan inquiry,Sales
2808183,77156,250897,326,In Repayment,Farmer,Lunyoro,Incoming,5.45,Call Resolved,10/21/17 6:21,"Code Entered Late, Code Not Received",Codes
2808184,373390,338414,17,In Repayment,Market Trader,Lunyankore,Outgoing,2.63,Call Resolved,10/21/17 6:21,MM Issue,Finance
2808185,108358,151160,655,In Repayment,Small Business Owner,Luganda,Incoming,0.4,Call Resolved,10/21/17 6:21,Call transfer,Other
2808186,167187,212968,599,In Repayment,Teacher,English,Outgoing,7.32,Call Resolved,10/21/17 6:21,Completions Call,Survey
2808187,239257,46299,285,In Repayment,Small Business Owner,Lunyankore,Incoming,1.55,Call Resolved,10/21/17 6:21,Power System Bind Posts Broken,Technical/ Battery Performance
2808188,157397,129683,693,Complete,Farmer,Alur,Incoming,0.63,Call Resolved,10/21/17 6:22,Call transfer,Other
2808189,86394,303759,165,In Repayment,Farmer,Lusoga,Incoming,3.98,Call Resolved,10/21/17 6:22,"Balance Inquiry, Code Not Received",Finance
2808190,157397,248068,331,In Repayment,Farmer,Alur,Incoming,0.52,Call Resolved,10/21/17 6:23,Call transfer,Other
2808191,239005,8895,439,In Repayment,Farmer,Luganda,Incoming,1.12,Call Resolved,10/21/17 6:23,Call Dropped,Other
2808192,108358,337331,94,In Repayment,Farmer,Luganda,Incoming,1.45,Call Resolved,10/21/17 6:23,Ended Call- Hearing/Speaking Issues,Other
2808193,239142,105501,767,In Repayment,Construction,Lunyankore,Incoming,3.32,Call Resolved,10/21/17 6:23,Redeem Code,Codes
2808197,239257,40917,132,In Repayment,Farmer,Rukiga,Incoming,3.05,Call Resolved,10/21/17 6:25,Code Entry Support,Codes
2808198,239142,249938,328,In Repayment,Other,Lunyankore,Incoming,2.12,Call Resolved,10/21/17 6:26,Code Not Received,Codes
2808199,212970,270932,255,In Repayment,Other,English,Incoming,3.13,Call Resolved,10/21/17 6:24,Reactivation/Catch Up Inquiry,Accounts
2808201,212971,223991,390,In Repayment,Farmer,Ateso,Incoming,10.47,Call Resolved,10/21/17 6:27,Early Lockout,Codes
2808202,108358,192627,503,In Repayment,Office Work,Luganda,Incoming,4.2,Call Resolved,10/21/17 6:28,Code Not Received,Codes
2808203,157397,350017,74,In Repayment,Farmer,Samia,Incoming,0.6,Call Resolved,10/21/17 6:28,Call transfer,Other
2808204,340928,157497,88,In Repayment,Other,Lunyankore,Outgoing,6.57,Call Resolved,10/21/17 6:27,Ended Call- Hearing/Speaking Issues,Other
2808206,77156,211674,429,In Repayment,Small Business Owner,Lunyoro,Incoming,7.38,Call Resolved,10/21/17 6:29,Advance Code,Codes
2808209,157397,350017,74,In Repayment,Farmer,Samia,Incoming,0.12,Call Resolved,10/21/17 6:29,Call transfer,Other
2808212,338079,172684,577,In Repayment,Teacher,English,Incoming,6.93,Call Resolved,10/21/17 6:29,Balance Inquiry,Finance
2808213,157397,248068,331,In Repayment,Farmer,Alur,Incoming,0.58,Call Resolved,10/21/17 6:31,Call transfer,Other
2808214,212971,129683,693,Complete,Farmer,Alur,Incoming,3.85,Call Resolved,10/21/17 6:32,Payment inquiry,Finance
2808216,86394,280442,272,In Repayment,Farmer,Luganda,Incoming,2.77,Call Resolved,10/21/17 6:32,Does Not Charge From Solar,Technical/ Battery Performance
2808217,100497,202355,463,In Repayment,Other,Lukonjo,Incoming,6.97,Call Resolved,10/21/17 6:32,Balance Inquiry,Finance
2808218,365120,239298,49,In Repayment,Small Business Owner,Lango,Outgoing,6.88,Call Resolved,10/21/17 6:31,10 Day Call,Survey
2808220,108358,151160,655,In Repayment,Small Business Owner,Luganda,Incoming,2.9,Call Resolved,10/21/17 6:32,Code request,Codes
2808222,157497,376820,8,In Repayment,Farmer,Lunyankore,Incoming,3.28,Call Resolved,10/21/17 6:32,Call Dropped,Other
2808223,373224,239082,18,In Repayment,Shop Keeper,Luganda,Outgoing,12.65,Call Resolved,10/21/17 6:33,10 Day Call,Survey
2808224,76726,212968,847,Complete,Teacher,English,Outgoing,6.58,Call Resolved,10/21/17 6:33,Completions Call,Survey
2808225,338079,248068,331,In Repayment,Farmer,Alur,Incoming,2.13,Call Resolved,10/21/17 6:33,Call Dropped,Other
2808230,212971,346967,80,In Repayment,Farmer,Ateso,Incoming,2.05,Call Resolved,10/21/17 6:35,Customer NOT with PS,Technical/ Battery Performance
2808231,371150,212954,27,In Repayment,Teacher,English,Outgoing,15.25,Call Resolved,10/21/17 6:35,10 Day Call,Survey
2808232,157397,134934,682,Complete,Government / Civil Servant,Lugbara,Incoming,0.12,Call Resolved,10/21/17 6:36,Call Dropped,Other
2808233,239257,178480,554,In Repayment,Boda Boda,Lunyankore,Incoming,0.15,Call Resolved,10/21/17 6:36,Call Dropped,Other
2808234,239005,235737,355,In Repayment,Small Business Owner,Lusoga,Incoming,3.72,Call Resolved,10/21/17 6:36,Redeem Code,Codes
2808236,212971,352547,70,In Repayment,Construction,Ateso,Incoming,2.03,Call Unresolved,10/21/17 6:38,Payment inquiry,Finance
2808237,100497,271432,297,In Repayment,Security Guard,Lunyoro,Incoming,5.37,Call Resolved,10/21/17 6:38,Customer NOT with PS,Technical/ Battery Performance
2808238,114159,334064,99,In Repayment,Farmer,Ateso,Incoming,2.3,Call Resolved,10/21/17 6:37,Code Not Received,Codes
2808239,108957,212968,752,Complete,Teacher,English,Outgoing,3.4,Call Unresolved ,10/21/17 6:39,Completions Call,Survey
2808240,212971,352547,70,In Repayment,Construction,Ateso,Incoming,1.43,Call Resolved,10/21/17 6:40,Payment inquiry,Finance
2808241,239005,21399,1005,In Repayment,Cattle Trader,Lugwere,Incoming,3.53,Call Resolved,10/21/17 6:40,Call Dropped,Other
2808242,372410,239142,21,In Repayment,Shop Keeper,Lunyankore,Outgoing,9.57,Call Resolved,10/21/17 6:40,10 Day Call,Survey
2808243,239257,373390,17,In Repayment,Market Trader,Lunyankore,Incoming,3.78,Call Resolved,10/21/17 6:40,Payment procedure information request,Finance
2808244,367722,239298,42,In Repayment,Farmer,Lango,Outgoing,6.17,Call Resolved,10/21/17 6:40,10 Day Call,Survey
